date,pm25,aqi
11/13/2017,71,0
11/14/2017,70,0
11/15/2017,70,0
11/16/2017,77,0
11/17/2017,63,0
11/18/2017,75,0
11/19/2017,73,0
11/20/2017,70,0
11/21/2017,56,0
11/22/2017,50,0
11/23/2017,51,0
11/24/2017,62,0
11/25/2017,55,0
11/26/2017,54,0
11/27/2017,55,0
11/28/2017,46,0
11/29/2017,47,0
11/30/2017,57,0
12/1/2017,78,0
12/2/2017,80,0
12/3/2017,74,0
12/4/2017,53,0
12/5/2017,50,0
12/6/2017,77,0
12/7/2017,107,0
12/8/2017,86,0
12/19/2017,65,0
12/20/2017,79,0
12/21/2017,75,0
12/22/2017,66,0
12/23/2017,71,0
12/24/2017,54,0
12/26/2017,55,0
12/27/2017,65,0
12/28/2017,60,0
12/29/2017,55,0
12/30/2017,52,0
12/31/2017,58,0
1/1/2018,63,0
1/2/2018,36,0
1/3/2018,48,0
1/4/2018,55,0
1/5/2018,49,0
1/6/2018,58,0
1/7/2018,69,0
1/8/2018,74,0
1/9/2018,68,0
1/10/2018,80,0
1/11/2018,76,0
1/12/2018,89,0
1/13/2018,76,0
1/15/2018,70,0
1/16/2018,52,0
1/17/2018,57,0
1/18/2018,48,0
1/19/2018,50,0
1/20/2018,73,0
1/21/2018,132,0
1/22/2018,120,0
1/23/2018,126,0
1/24/2018,98,0
1/25/2018,120,0
1/26/2018,94,0
1/27/2018,104,0
1/28/2018,115,0
1/29/2018,118,0
1/30/2018,88,0
1/31/2018,102,0
2/1/2018,70,0
2/2/2018,76,0
2/3/2018,82,0
2/4/2018,77,0
2/5/2018,76,0
2/6/2018,78,0
2/7/2018,69,0
2/8/2018,59,0
2/9/2018,47,0
2/10/2018,35,0
2/11/2018,44,0
2/12/2018,44,0
2/13/2018,47,0
2/14/2018,38,0
2/15/2018,40,0
2/16/2018,57,0
2/17/2018,59,0
2/18/2018,64,0
2/19/2018,14,0
2/20/2018,15,0
2/21/2018,17,0
2/22/2018,38,0
2/23/2018,67,0
2/24/2018,73,0
2/25/2018,75,0
2/26/2018,61,0
2/27/2018,64,0
2/28/2018,74,0
3/1/2018,93,0
3/2/2018,56,0
3/3/2018,64,0
3/4/2018,64,0
3/5/2018,90,0
3/6/2018,66,0
3/7/2018,73,0
3/8/2018,66,0
3/9/2018,69,0
3/10/2018,67,0
3/11/2018,80,0
3/12/2018,87,0
3/13/2018,109,0
3/14/2018,95,0
3/15/2018,73,0
3/16/2018,76,0
3/17/2018,83,0
3/18/2018,67,0
3/19/2018,65,0
3/20/2018,60,0
3/21/2018,56,0
3/22/2018,63,0
3/23/2018,69,0
3/24/2018,82,0
3/25/2018,98,0
3/26/2018,90,0
3/27/2018,97,0
3/28/2018,94,0
3/29/2018,68,0
3/30/2018,73,0
3/31/2018,67,0
4/1/2018,81,0
4/2/2018,40,0
4/3/2018,45,0
4/4/2018,61,0
4/5/2018,68,0
4/6/2018,57,0
4/7/2018,65,0
4/8/2018,72,0
4/9/2018,73,0
4/10/2018,63,0
4/11/2018,76,0
4/12/2018,80,0
4/13/2018,63,0
4/14/2018,69,0
4/15/2018,84,0
4/16/2018,61,0
4/17/2018,91,0
4/18/2018,76,0
4/19/2018,66,0
4/20/2018,87,0
4/21/2018,88,0
4/22/2018,104,0
4/23/2018,99,0
4/24/2018,118,0
4/25/2018,99,0
4/26/2018,0,0
4/27/2018,86,0
4/28/2018,82,0
4/29/2018,90,0
4/30/2018,107,0
5/1/2018,91,0
5/2/2018,111,0
5/3/2018,114,0
5/4/2018,108,0
5/5/2018,121,0
5/6/2018,115,0
5/7/2018,105,0
5/8/2018,123,0
5/9/2018,104,0
5/10/2018,85,0
5/11/2018,87,0
5/12/2018,94,0
5/13/2018,83,0
5/14/2018,73,0
5/15/2018,63,0
5/16/2018,68,0
5/17/2018,59,0
5/18/2018,57,0
5/19/2018,64,0
5/20/2018,66,0
5/21/2018,59,0
5/22/2018,71,0
5/23/2018,67,0
5/24/2018,75,0
5/25/2018,69,0
5/26/2018,68,0
5/27/2018,67,0
5/28/2018,63,0
5/29/2018,61,0
5/30/2018,69,0
5/31/2018,54,0
6/1/2018,46,0
6/2/2018,46,0
6/3/2018,44,0
6/4/2018,47,0
6/5/2018,51,0
6/6/2018,67,0
6/7/2018,76,0
6/8/2018,63,0
6/9/2018,66,0
6/10/2018,52,0
6/11/2018,56,0
6/12/2018,43,0
6/13/2018,37,0
6/14/2018,44,0
